                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21 
                            log_star_age                               luminosity                           conv_mx1_top_r                           center_entropy                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time Step dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                   height 
                 2.3198399153576954E+000                  2.0831500856260177E-008                  4.8965853097408578E-002                  8.6836666629554404E+000                  3.4462461213578768E+009                  6.5863760364898882E+009                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  6.5910021185493212E+009                  0.0000000000000000E+000                  3.1184213409930044E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 3.1915062375251368E+000                  2.0673169568102867E-008                  4.8890690179732799E-002                  8.6810544058977008E+000                  3.4409820886909261E+009                  4.9013175913143158E+010                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  1.3667101993023870E+010                  0.0000000000000000E+000                  3.1148587653232516E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 3.6833420705064910E+000                  2.0297927327767963E-008                  4.8711451140505485E-002                  8.6747857600510159E+000                  3.4284275701784725E+009                  1.5210681668293402E+011                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.3129810360150543E+010                  0.0000000000000000E+000                  3.1062988273296878E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 3.9346219884538964E+000                  1.9879785193307703E-008                  4.8509838628291800E-002                  8.6676674386811445E+000                  3.4143033166230001E+009                  2.7128675788365640E+011                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.4151488200788147E+010                  0.0000000000000000E+000                  3.0965612212343871E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.0963364037220407E+000                  1.9466822613941283E-008                  4.8308706013980851E-002                  8.6604939125177953E+000                  3.4002098302071767E+009                  3.9367969055571887E+011                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.4720961945445690E+010                  0.0000000000000000E+000                  3.0867304588790785E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.2162687523779638E+000                  1.9060641253443146E-008                  4.8108846461169141E-002                  8.6532931303752676E+000                  3.3862026329611692E+009                  5.1889006956150421E+011                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.5286687441987061E+010                  0.0000000000000000E+000                  3.0768456060397159E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.3120640125679870E+000                  1.8661999408990697E-008                  4.7930487774769465E-002                  8.6460671401453020E+000                  3.3722860807616582E+009                  6.4694985446305127E+011                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.5855512079952335E+010                  0.0000000000000000E+000                  3.0669389899913295E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.3920776956608503E+000                  1.8271490841260209E-008                  4.7733329463202273E-002                  8.6388208193399443E+000                  3.3584695172925038E+009                  7.7782930728369397E+011                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.6421195913047806E+010                  0.0000000000000000E+000                  3.0570362573403111E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.4609971865556064E+000                  1.7887908541497468E-008                  4.7537617987107407E-002                  8.6315537437591310E+000                  3.3447513527710819E+009                  9.1159890216808948E+011                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.7009260349604630E+010                  0.0000000000000000E+000                  3.0470934337765436E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
