                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                       1                                      642                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.0000000000000001E-005                  1.0000000000000001E-005                  2.1240418369452703E+002                  1.8170915978788434E-007                  3.1522533367615679E-001                 -2.0003314092957332E+001                  7.3999999999999999E-001                  2.5540830215261684E-005                  2.3997445916978466E-001                  3.4416106108120410E-003                  1.0081585468366041E-003                  9.3604466091399777E-003                  2.0994599496976488E-003                  9.0134254923124562E-005                  0.0000000000000000E+000                  6.6699387135650217E-005                  2.3021050301265545E-009                  2.1629931560586184E-005                  3.1020718716312667E-007                  9.0869671904823269E-008                  8.4369736776433992E-007                  1.8923336751442722E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0121822410107951E-005                  3.0454359936411390E-001                  9.0099748383742610E-005                  2.9651019852361754E-001                  1.8664669520021399E+005                  3.3293645560600692E+006                  4.9603583566365908E+012                  6.0764629528351426E-025                  6.0764629528351426E-025                  0.0000000000000000E+000                  2.4311477897957181E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1558149984000005E+002 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.1268349331434001E+002                  1.8170915978788434E-007                  6.6666666666666663E-001                  0.0000000000000000E+000                  2.0348033603156102E+004 
                                       2                  2.1366355105073308E+002                  1.9732497455263173E-007                  6.8075277970248960E-001                  0.0000000000000000E+000                  2.1028570656250304E+004 
                                       3                  2.1664084731461594E+002                  4.0818280384543067E-007                  7.1311284103551498E-001                  0.0000000000000000E+000                  2.1989469246019366E+004 
                                       4                  2.1969059378879197E+002                  3.8772225320723381E-007                  7.4990198299048927E-001                  0.0000000000000000E+000                  2.3000676465995293E+004 
                                       5                  2.2280016391785011E+002                  3.7591226368240753E-007                  7.9071378369931711E-001                  0.0000000000000000E+000                  2.4064833639539287E+004 
                                       6                  2.2596852111341036E+002                  3.7195426834659446E-007                  8.3485202356265364E-001                  0.0000000000000000E+000                  2.5184721016991713E+004 
                                       7                  2.2919363495957123E+002                  3.6969598317035883E-007                  8.8193290297672411E-001                  0.0000000000000000E+000                  2.6363265101006178E+004 
                                       8                  2.3247212322725306E+002                  3.6635619589367558E-007                  9.3207389056043244E-001                  0.0000000000000000E+000                  2.7603546360408393E+004 
                                       9                  2.3580262630589328E+002                  3.6049216103393825E-007                  9.8586247023847762E-001                  0.0000000000000000E+000                  2.8908807322299250E+004 
                                      10                  2.3918399749940903E+002                  3.5305414008743157E-007                  1.0439028799938930E+000                  0.0000000000000000E+000                  3.0282461100421675E+004 
                                      11                  2.4261443685087860E+002                  3.4516852972487589E-007                  1.1066822698134879E+000                  0.0000000000000000E+000                  3.1728100376573628E+004 
                                      12                  2.4609507847331352E+002                  3.3772695942182836E-007                  1.1745559585888776E+000                  0.0000000000000000E+000                  3.3249506821644129E+004 
                                      13                  2.4963097191812537E+002                  3.3107170499113321E-007                  1.2478700622632932E+000                  0.0000000000000000E+000                  3.4850660979107714E+004 
                                      14                  2.5323051311024022E+002                  3.2531282504710533E-007                  1.3270291416644486E+000                  0.0000000000000000E+000                  3.6535752664739804E+004 
                                      15                  2.5689881823537314E+002                  3.1995809963700324E-007                  1.4125022316252576E+000                  0.0000000000000000E+000                  3.8309191997049362E+004 
                                      16                  2.6063946823034149E+002                  3.1468050394160887E-007                  1.5048417643160712E+000                  0.0000000000000000E+000                  4.0175621008817143E+004 
                                      17                  2.6445518211924377E+002                  3.0921237216813453E-007                  1.6047113940363218E+000                  0.0000000000000000E+000                  4.2139925872075735E+004 
                                      18                  2.6834770998362092E+002                  3.6089108898893942E-007                  1.7129147833132343E+000                  0.0000000000000000E+000                  4.4207249773408337E+004 
                                      19                  2.7230956345723598E+002                  5.2606252116246518E-007                  1.8304316244710150E+000                  0.0000000000000000E+000                  4.6383006522399672E+004 
                                      20                  2.7633897470679415E+002                  6.2736860931997397E-007                  1.9584647227412826E+000                  0.0000000000000000E+000                  4.8672894713506867E+004 
                                      21                  2.8043457651256864E+002                  6.2811498455613971E-007                  2.0984926210429848E+000                  0.0000000000000000E+000                  5.1082912769590403E+004 
                                      22                  2.8459627521363592E+002                  5.8389317380607704E-007                  2.2522570022605568E+000                  0.0000000000000000E+000                  5.3619374704940703E+004 
                                      23                  2.8882456484551261E+002                  5.2558142255720786E-007                  2.4216272687480433E+000                  0.0000000000000000E+000                  5.6288926700731936E+004 
                                      24                  2.9311981517793618E+002                  4.4741739471859447E-007                  2.6085590432994747E+000                  0.0000000000000000E+000                  5.9098564578422964E+004 
                                      25                  2.9748279933862034E+002                  3.7035586681061665E-007                  2.8150551595284172E+000                  0.0000000000000000E+000                  6.2055652186612169E+004 
                                      26                  3.0191440541701246E+002                  3.0048024671265651E-007                  3.0431087903122731E+000                  0.0000000000000000E+000                  6.5167940749739042E+004 
                                      27                  3.0641510514972146E+002                  2.3250782369634663E-007                  3.2946260547760398E+000                  0.0000000000000000E+000                  6.8443589301673303E+004 
                                      28                  3.1097768467608250E+002                  2.1120703045835872E-007                  3.5713965238360865E+000                  0.0000000000000000E+000                  7.1891186347349561E+004 
                                      29                  3.1559539010166429E+002                  2.0323349168927082E-007                  3.8753244570808176E+000                  0.0000000000000000E+000                  7.5519772442409347E+004 
                                      30                  3.2026543626788703E+002                  1.9565059889463401E-007                  4.2085403496154141E+000                  0.0000000000000000E+000                  7.9338863836711738E+004 
                                      31                  3.2499109212967090E+002                  1.8859386640871753E-007                  4.5734549520253420E+000                  0.0000000000000000E+000                  8.3358477305201901E+004 
                                      32                  3.2977652174548592E+002                  1.8197781929962718E-007                  4.9728201131025660E+000                  0.0000000000000000E+000                  8.7589156466398985E+004 
                                      33                  3.3462864760159994E+002                  1.7579611957432140E-007                  5.4098005931499511E+000                  0.0000000000000000E+000                  9.2041999401656896E+004 
                                      34                  3.3955756684849871E+002                  1.7005453756446790E-007                  5.8880608296743269E+000                  0.0000000000000000E+000                  9.6728687640910415E+004 
                                      35                  3.4457783803346109E+002                  1.6479495916823120E-007                  6.4118724473889959E+000                  0.0000000000000000E+000                  1.0166151661509003E+005 
                                      36                  3.4970111603638543E+002                  1.5980844584048972E-007                  6.9862513926734415E+000                  0.0000000000000000E+000                  1.0685342803466581E+005 
                                      37                  3.5493080696489301E+002                  1.5474578660524662E-007                  7.6171342045325066E+000                  0.0000000000000000E+000                  1.1231804417694671E+005 
                                      38                  3.6028220415009480E+002                  1.4988161292665205E-007                  8.3115967257041330E+000                  0.0000000000000000E+000                  1.1806970361757746E+005 
                                      39                  3.6574026438743113E+002                  1.5297945210889445E-006                  9.0781477506937982E+000                  0.0000000000000000E+000                  1.2412349986528323E+005 
                                      40                  3.7129850299696756E+002                  3.5968995355845657E-006                  9.9270464089605071E+000                  0.0000000000000000E+000                  1.3049532019071143E+005 
                                      41                  3.7695281772897329E+002                  5.2440908043647625E-006                  1.0870724508587589E+001                  0.0000000000000000E+000                  1.3720188746606623E+005 
                                      42                  3.8269904891064465E+002                  5.9954992335228579E-006                  1.1924321312029930E+001                  0.0000000000000000E+000                  1.4426080444427559E+005 
                                      43                  3.8853306641719706E+002                  5.6391293951092392E-006                  1.3106360873031777E+001                  0.0000000000000000E+000                  1.5169060026173390E+005 
                                      44                  3.9445111407513440E+002                  4.2548106611531113E-006                  1.4439619815147513E+001                  0.0000000000000000E+000                  1.5951077938231366E+005 
                                      45                  4.0045070187419196E+002                  2.3147504407378289E-006                  1.5952249182315121E+001                  0.0000000000000000E+000                  1.6774187301428075E+005 
                                      46                  4.0653201263223627E+002                  6.4721501889664227E-007                  1.7679221438565726E+001                  0.0000000000000000E+000                  1.7640549303604732E+005 
                                      47                  4.1268909578320125E+002                  8.6742243050587274E-008                  1.9663095229959808E+001                  0.0000000000000000E+000                  1.8552438881310131E+005 
                                      48                  4.1892547518155368E+002                  7.9215141271639767E-008                  2.1953876342563735E+001                  0.0000000000000000E+000                  1.9512250602422588E+005 
                                      49                  4.2525081806478096E+002                  7.2162272815327302E-008                  2.4610148632875600E+001                  0.0000000000000000E+000                  2.0522504912773235E+005 
                                      50                  4.3167286617413822E+002                  6.5613285094428022E-008                  2.7700409385432859E+001                  0.0000000000000000E+000                  2.1585854753431061E+005 
                                      51                  4.3819736318631288E+002                  5.9580997819498724E-008                  3.1304232805885242E+001                  0.0000000000000000E+000                  2.2705092520712339E+005 
                                      52                  4.4482702203708379E+002                  5.4057768558691569E-008                  3.5513260197942586E+001                  0.0000000000000000E+000                  2.3883157413595432E+005 
                                      53                  4.5156453831879674E+002                  4.9051921760746250E-008                  4.0431799037320594E+001                  0.0000000000000000E+000                  2.5123143160638635E+005 
                                      54                  4.5841162363185907E+002                  4.4551169187826992E-008                  4.6177027533396867E+001                  0.0000000000000000E+000                  2.6428306196497468E+005 
                                      55                  4.6536574551192791E+002                  4.0516643045319287E-008                  5.2878447638906643E+001                  0.0000000000000000E+000                  2.7802074316367105E+005 
                                      56                  4.7242303830710546E+002                  3.6927065787049351E-008                  6.0676111651808000E+001                  0.0000000000000000E+000                  2.9248055748801120E+005 
                                      57                  4.7958168062313729E+002                  3.3772610319126891E-008                  6.9717740873761642E+001                  0.0000000000000000E+000                  3.0770048621871107E+005 
                                      58                  4.8684295388456383E+002                  3.1039475464789663E-008                  8.0154637038498393E+001                  0.0000000000000000E+000                  3.2372050913607999E+005 
                                      59                  4.9420791338614822E+002                  2.8694952095050435E-008                  9.2136118524411643E+001                  0.0000000000000000E+000                  3.4058270976183412E+005 
                                      60                  5.0167740112452231E+002                  2.6708510392027981E-008                  1.0580195126596617E+002                  0.0000000000000000E+000                  3.5833138608840824E+005 
                                      61                  5.0925453236078187E+002                  2.5055957334126866E-008                  1.2127304399220991E+002                  0.0000000000000000E+000                  3.7701316661379725E+005 
                                      62                  5.1694382333282306E+002                  2.3692930585172129E-008                  1.3864789798396785E+002                  0.0000000000000000E+000                  3.9667713253766357E+005 
                                      63                  5.2475082258690873E+002                  2.2564992369900222E-008                  1.5801989547153352E+002                  0.0000000000000000E+000                  4.1737494666838122E+005 
                                      64                  5.3268311875282052E+002                  2.1628132932406952E-008                  1.7948516404126721E+002                  0.0000000000000000E+000                  4.3916098879603448E+005 
                                      65                  5.4074936199249646E+002                  2.0843576981045403E-008                  2.0314775974226626E+002                  0.0000000000000000E+000                  4.6209249806724384E+005 
