                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     700                                      392                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.8463483757374222E-004                  4.6778981673979033E-013                  2.0731406025000513E+002                  8.1055329342890752E-008                  2.2099991622403897E-001                 -2.0090765357332501E+001                  7.4000000000000032E-001                  2.5540830215261673E-005                  2.3997445916978472E-001                  3.4416106108120406E-003                  1.0081585468366047E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  9.0135241630170167E-005                  0.0000000000000000E+000                  6.6700078806325989E-005                  2.3021289028877626E-009                  2.1630155862337960E-005                  3.1021040400250071E-007                  9.0870614220638593E-008                  8.4370611688113981E-007                  1.8923532985886260E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0130805496485761E-005                  2.1620668333864013E-001                  9.0121192909712510E-005                  2.1192287780319280E-001                  1.0956565047876774E+005                  1.0646211992348159E+007                  1.1120211633323750E+013                  1.2537733462820873E-024                  1.2537733462820873E-024                  0.0000000000000000E+000                  5.0164810221348471E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.8267338964236360E+003 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.0731406085273835E+002                  8.1055329342890752E-008                  6.6666666666666663E-001                  0.0000000000000000E+000                  3.2789783706339476E+004 
                                       2                  2.0731406356503973E+002                  8.1055321992265038E-008                  6.6666669767835729E-001                  0.0000000000000000E+000                  3.2789787138264255E+004 
                                       3                  2.0731407019510894E+002                  8.1055296153491365E-008                  6.6666680621928920E-001                  0.0000000000000000E+000                  3.2789795527413800E+004 
                                       4                  2.0731408074294248E+002                  8.1055241003122502E-008                  6.6666703880707734E-001                  0.0000000000000000E+000                  3.2789808873788257E+004 
                                       5                  2.0731409430443634E+002                  8.1055167379276688E-008                  6.6666734892429169E-001                  0.0000000000000000E+000                  3.2789826033412857E+004 
                                       6                  2.0731410937275382E+002                  8.1055075309539205E-008                  6.6666773657107226E-001                  0.0000000000000000E+000                  3.2789845099662889E+004 
                                       7                  2.0731413197521684E+002                  8.1054983290846284E-008                  6.6666812421814470E-001                  0.0000000000000000E+000                  3.2789873699038464E+004 
                                       8                  2.0731417718008964E+002                  8.1054799012154108E-008                  6.6666889951316499E-001                  0.0000000000000000E+000                  3.2789930897792270E+004 
                                       9                  2.0731426758962255E+002                  8.1054431556960301E-008                  6.6667045010670756E-001                  0.0000000000000000E+000                  3.2790045295310025E+004 
                                      10                  2.0731447854421077E+002                  8.1053697633821233E-008                  6.6667355130780082E-001                  0.0000000000000000E+000                  3.2790312222898967E+004 
                                      11                  2.0731477990439922E+002                  8.1051868890635068E-008                  6.6668130439224804E-001                  0.0000000000000000E+000                  3.2790693548195857E+004 
                                      12                  2.0731523193944486E+002                  8.1050044970745036E-008                  6.6668905759343089E-001                  0.0000000000000000E+000                  3.2791265536395833E+004 
                                      13                  2.0731613598867935E+002                  8.1046405315927325E-008                  6.6670456434600933E-001                  0.0000000000000000E+000                  3.2792409513814469E+004 
                                      14                  2.0731824534009996E+002                  8.1039147031170355E-008                  6.6673557925205795E-001                  0.0000000000000000E+000                  3.2795078799211777E+004 
                                      15                  2.0732125835665633E+002                  8.1021086018219946E-008                  6.6681312468959264E-001                  0.0000000000000000E+000                  3.2798892081041893E+004 
