                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      50                                      430                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.9317644753710753E-001                  4.8867473758845752E-002                  2.2668149298845563E+002                  2.3608924959065356E-007                  3.1547490163259262E-001                 -2.0003592215583812E+001                  7.4000000000000021E-001                  2.5540830215261673E-005                  2.3997445916978466E-001                  3.4416106108120397E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  9.0134254923124562E-005                  0.0000000000000000E+000                  6.6699348643112203E-005                  2.3021037015706366E-009                  2.1629919077848318E-005                  3.1020700814106309E-007                  9.0869619463497302E-008                  8.4369688086251933E-007                  1.8923325830693821E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0121733707220739E-005                  3.0472276740290732E-001                  9.0099529396373086E-005                  2.9667956093418046E-001                  1.8686839495498117E+005                  2.5604615574098970E+006                  3.8178042871246792E+012                  6.0863073585074633E-025                  6.0863073585074633E-025                  0.0000000000000000E+000                  2.4350871293775911E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.2521063031523470E+006 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.2668149350472959E+002                  2.3608924959065356E-007                  6.6666666666666663E-001                  0.0000000000000000E+000                  2.0160465866642055E+004 
                                       2                  2.2668149531168928E+002                  2.3608925180121397E-007                  6.6666669096033493E-001                  0.0000000000000000E+000                  2.0160467152292640E+004 
                                       3                  2.2668149853840350E+002                  2.3608925732761521E-007                  6.6666675169450873E-001                  0.0000000000000000E+000                  2.0160469448097338E+004 
                                       4                  2.2668150241046089E+002                  2.3608926561721740E-007                  6.6666684279577748E-001                  0.0000000000000000E+000                  2.0160472203062953E+004 
                                       5                  2.2668150757320439E+002                  2.3608927390682005E-007                  6.6666693389705589E-001                  0.0000000000000000E+000                  2.0160475876350549E+004 
                                       6                  2.2668151402663486E+002                  2.3608928772282541E-007                  6.6666708573254119E-001                  0.0000000000000000E+000                  2.0160480467960049E+004 
                                       7                  2.2668152370678189E+002                  2.3608930153883199E-007                  6.6666723756805324E-001                  0.0000000000000000E+000                  2.0160487355374360E+004 
                                       8                  2.2668154306708229E+002                  2.3608932917084884E-007                  6.6666754123915772E-001                  0.0000000000000000E+000                  2.0160501130203425E+004 
                                       9                  2.2668158178770736E+002                  2.3608938443489719E-007                  6.6666814858168755E-001                  0.0000000000000000E+000                  2.0160528679863070E+004 
                                      10                  2.2668167213594472E+002                  2.3608949496305254E-007                  6.6666936326803128E-001                  0.0000000000000000E+000                  2.0160592962409213E+004 
                                      11                  2.2668180120525855E+002                  2.3608977128378275E-007                  6.6667239999138028E-001                  0.0000000000000000E+000                  2.0160684794642981E+004 
                                      12                  2.2668199480983355E+002                  2.3609004760500120E-007                  6.6667543672542895E-001                  0.0000000000000000E+000                  2.0160822543031158E+004 
                                      13                  2.2668238202140100E+002                  2.3609060024890312E-007                  6.6668151022562516E-001                  0.0000000000000000E+000                  2.0161098039957385E+004 
                                      14                  2.2668328552634040E+002                  2.3609170554256585E-007                  6.6669365735441166E-001                  0.0000000000000000E+000                  2.0161740866818498E+004 
                                      15                  2.2668457628797165E+002                  2.3609446881089291E-007                  6.6672402592532809E-001                  0.0000000000000000E+000                  2.0162659193405023E+004 
                                      16                  2.2668651249084883E+002                  2.3609723212801169E-007                  6.6675439556613414E-001                  0.0000000000000000E+000                  2.0164036687033600E+004 
                                      17                  2.2669038513829537E+002                  2.3610275890855049E-007                  6.6681513805724957E-001                  0.0000000000000000E+000                  2.0166791689285161E+004 
                                      18                  2.2669942244330306E+002                  2.3611381305425389E-007                  6.6693663587629259E-001                  0.0000000000000000E+000                  2.0173220097838494E+004 
                                      19                  2.2671233690437458E+002                  2.3614145182193421E-007                  6.6724045528989007E-001                  0.0000000000000000E+000                  2.0182403788447460E+004 
                                      20                  2.2673171462968955E+002                  2.3616909542866678E-007                  6.6754438161604202E-001                  0.0000000000000000E+000                  2.0196179698957221E+004 
                                      21                  2.2677049418758517E+002                  2.3622439708549378E-007                  6.6815255484164560E-001                  0.0000000000000000E+000                  2.0223733017574359E+004 
                                      22                  2.2685669079778356E+002                  2.3633505759522765E-007                  6.6937018239758916E-001                  0.0000000000000000E+000                  2.0284907459838272E+004 
                                      23                  2.2697766044577631E+002                  2.3659318297023744E-007                  6.7221383051720629E-001                  0.0000000000000000E+000                  2.0370536203989817E+004 
                                      24                  2.2715963149689787E+002                  2.3685169543246595E-007                  6.7506670301873917E-001                  0.0000000000000000E+000                  2.0499011626149455E+004 
                                      25                  2.2744754739836654E+002                  2.3736982283366942E-007                  6.8079999691174120E-001                  0.0000000000000000E+000                  2.0701250873519042E+004 
                                      26                  2.2778187571760236E+002                  2.3807661890944280E-007                  6.8865605640577887E-001                  0.0000000000000000E+000                  2.0934500465317749E+004 
                                      27                  2.2828704109572729E+002                  2.3878549799069668E-007                  6.9657904350476330E-001                  0.0000000000000000E+000                  2.1284608930776296E+004 
                                      28                  2.2934569524074681E+002                  2.4020838959843834E-007                  7.1262396490663482E-001                  0.0000000000000000E+000                  2.2008979117965224E+004 
                                      29                  2.3085733463505107E+002                  2.4320883055434760E-007                  7.4716176108339116E-001                  0.0000000000000000E+000                  2.3017367233407127E+004 
                                      30                  2.3248827301036420E+002                  2.4635313113406912E-007                  7.8464858530265180E-001                  0.0000000000000000E+000                  2.4078690174976600E+004 
                                      31                  2.3424685277168240E+002                  2.4962081391686967E-007                  8.2535387453691644E-001                  0.0000000000000000E+000                  2.5195716042299824E+004 
                                      32                  2.3614159772889434E+002                  2.5298444451515745E-007                  8.6957819589320140E-001                  0.0000000000000000E+000                  2.6371357664849380E+004 
