                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      96                                      430                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2767310870454557E+002                  1.2767310870454557E+002                  2.2247639278624769E+002                  2.1275396242310571E-007                  3.1090649624504724E-001                 -2.0003464804024482E+001                  7.4000000000000021E-001                  2.5540830215261673E-005                  2.3997445916978466E-001                  3.4416106108120397E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  9.0134254923124562E-005                  0.0000000000000000E+000                  6.6699348643112203E-005                  2.3021037015706366E-009                  2.1629919077848318E-005                  3.1020700814106309E-007                  9.0869619463497302E-008                  8.4369688086251933E-007                  1.8923325830693821E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0122195640960696E-005                  3.0067046026587196E-001                  9.0099245364212461E-005                  2.9268818744001668E-001                  1.8282405182859363E+005                  2.8830477228872087E+006                  4.2365488236535762E+012                  6.1025291841523126E-025                  6.1025291841523126E-025                  0.0000000000000000E+000                  2.4415776328907010E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.0291271134215851E+009 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.2247639332501643E+002                  2.1275396242310571E-007                  6.6666666666666663E-001                  0.0000000000000000E+000                  2.0099551992227618E+004 
                                       2                  2.2247639521070786E+002                  2.1275396242246308E-007                  6.6666669249803145E-001                  0.0000000000000000E+000                  2.0099553355124572E+004 
                                       3                  2.2247639857801377E+002                  2.1275396242085652E-007                  6.6666675707644707E-001                  0.0000000000000000E+000                  2.0099555788869209E+004 
                                       4                  2.2247640261878169E+002                  2.1275396241844661E-007                  6.6666685394408010E-001                  0.0000000000000000E+000                  2.0099558709362791E+004 
                                       5                  2.2247640800647204E+002                  2.1275396241603672E-007                  6.6666695081172456E-001                  0.0000000000000000E+000                  2.0099562603354272E+004 
                                       6                  2.2247641474108610E+002                  2.1275396241202025E-007                  6.6666711225782416E-001                  0.0000000000000000E+000                  2.0099567470843685E+004 
                                       7                  2.2247642484300809E+002                  2.1275396240800372E-007                  6.6666727370395573E-001                  0.0000000000000000E+000                  2.0099574772077853E+004 
                                       8                  2.2247644504685695E+002                  2.1275396239997083E-007                  6.6666759659631458E-001                  0.0000000000000000E+000                  2.0099589374546686E+004 
                                       9                  2.2247648545457284E+002                  2.1275396238390492E-007                  6.6666824238141531E-001                  0.0000000000000000E+000                  2.0099618579485974E+004 
                                      10                  2.2247657973932934E+002                  2.1275396235177304E-007                  6.6666953395314865E-001                  0.0000000000000000E+000                  2.0099686724351915E+004 
                                      11                  2.2247671443214529E+002                  2.1275396227144327E-007                  6.6667276289141819E-001                  0.0000000000000000E+000                  2.0099784074187697E+004 
                                      12                  2.2247691647182901E+002                  2.1275396219111323E-007                  6.6667599184245341E-001                  0.0000000000000000E+000                  2.0099930098982211E+004 
                                      13                  2.2247732055303678E+002                  2.1275396203045236E-007                  6.6668244978282054E-001                  0.0000000000000000E+000                  2.0100222148734734E+004 
                                      14                  2.2247826341777454E+002                  2.1275396170912769E-007                  6.6669536581673960E-001                  0.0000000000000000E+000                  2.0100903598920293E+004 
                                      15                  2.2247961039806069E+002                  2.1275396090579892E-007                  6.6672765679508372E-001                  0.0000000000000000E+000                  2.0101877101910242E+004 
                                      16                  2.2248163091447310E+002                  2.1275396010244555E-007                  6.6675994904984770E-001                  0.0000000000000000E+000                  2.0103337360482281E+004 
                                      17                  2.2248567213117460E+002                  2.1275395849566511E-007                  6.6682453738830516E-001                  0.0000000000000000E+000                  2.0106257893974107E+004 
                                      18                  2.2249510249437097E+002                  2.1275395528180974E-007                  6.6695372937855879E-001                  0.0000000000000000E+000                  2.0113072548402477E+004 
                                      19                  2.2250857750069648E+002                  2.1275394724545442E-007                  6.6727679865119016E-001                  0.0000000000000000E+000                  2.0122808041374097E+004 
                                      20                  2.2252879458990907E+002                  2.1275393920665030E-007                  6.6759999541568160E-001                  0.0000000000000000E+000                  2.0137411689218141E+004 
                                      21                  2.2256924703167229E+002                  2.1275392312171100E-007                  6.6824677108984964E-001                  0.0000000000000000E+000                  2.0166620617535456E+004 
                                      22                  2.2265913121094130E+002                  2.1275389092261989E-007                  6.6954184863503519E-001                  0.0000000000000000E+000                  2.0231471077631817E+004 
                                      23                  2.2278517421332955E+002                  2.1275381574983771E-007                  6.7256720706090567E-001                  0.0000000000000000E+000                  2.0322245961281133E+004 
                                      24                  2.2297462120724532E+002                  2.1275374037042991E-007                  6.7560351380022998E-001                  0.0000000000000000E+000                  2.0458443489785685E+004 
                                      25                  2.2327386031747858E+002                  2.1275358900344850E-007                  6.8170870306563358E-001                  0.0000000000000000E+000                  2.0672841426279912E+004 
                                      26                  2.2362051142507588E+002                  2.1275338187800799E-007                  6.9008081784786379E-001                  0.0000000000000000E+000                  2.0920118568733578E+004 
                                      27                  2.2414299165962734E+002                  2.1275317336014284E-007                  6.9853089591468720E-001                  0.0000000000000000E+000                  2.1291288993872513E+004 
                                      28                  2.2523206034247289E+002                  2.1275275235264290E-007                  7.1565964570439511E-001                  0.0000000000000000E+000                  2.2059261986853599E+004 
                                      29                  2.2676773976834204E+002                  2.1275185275636796E-007                  7.5257133709688306E-001                  0.0000000000000000E+000                  2.3128417612580193E+004 
                                      30                  2.2840107811506147E+002                  2.1275088841979388E-007                  7.9262448735257685E-001                  0.0000000000000000E+000                  2.4253763919392564E+004 
                                      31                  2.3013588480831214E+002                  2.1274985630841118E-007                  8.3604536003864494E-001                  0.0000000000000000E+000                  2.5438236081610186E+004 
                                      32                  2.3197796029901383E+002                  2.1274875200459319E-007                  8.8313967101817592E-001                  0.0000000000000000E+000                  2.6684922014738204E+004 
                                      33                  2.3393414657247416E+002                  2.1274757021399458E-007                  9.3428662813265095E-001                  0.0000000000000000E+000                  2.7997070477433630E+004 
                                      34                  2.3601133658933773E+002                  2.1274630551036111E-007                  9.8990919729341631E-001                  0.0000000000000000E+000                  2.9378099637763593E+004 
                                      35                  2.3821581103431012E+002                  2.1274495260836545E-007                  1.0504634547312472E+000                  0.0000000000000000E+000                  3.0831606106171963E+004 
                                      36                  2.4055234443837449E+002                  2.1274350667718831E-007                  1.1164200678871237E+000                  0.0000000000000000E+000                  3.2361374469748571E+004 
                                      37                  2.4302363773470398E+002                  2.1274196366990508E-007                  1.1882343411301612E+000                  0.0000000000000000E+000                  3.3971387314367545E+004 
                                      38                  2.4563104998908889E+002                  2.1274032000983787E-007                  1.2663399197409884E+000                  0.0000000000000000E+000                  3.5665835673579699E+004 
                                      39                  2.4837564023549376E+002                  2.1273857185342211E-007                  1.3511939898699012E+000                  0.0000000000000000E+000                  3.7449129928432398E+004 
                                      40                  2.5125855323636446E+002                  2.1273671478731673E-007                  1.4432927882049498E+000                  0.0000000000000000E+000                  3.9325911282304194E+004 
                                      41                  2.5428135078754656E+002                  2.1273474367540456E-007                  1.5431852842991451E+000                  0.0000000000000000E+000                  4.1301063900973488E+004 
                                      42                  2.5744636432929133E+002                  2.1273265250158751E-007                  1.6514904527725938E+000                  0.0000000000000000E+000                  4.3379727738075577E+004 
                                      43                  2.6075707655284509E+002                  2.1273043418355430E-007                  1.7689183069741135E+000                  0.0000000000000000E+000                  4.5567312091000706E+004 
                                      44                  2.6421856143543397E+002                  2.1272808033830186E-007                  1.8962969330871573E+000                  0.0000000000000000E+000                  4.7869510003645468E+004 
                                      45                  2.6783800610879825E+002                  2.1272558100059616E-007                  2.0346078236139165E+000                  0.0000000000000000E+000                  5.0292313612128826E+004 
                                      46                  2.7162534937417030E+002                  2.1272292427696943E-007                  2.1850325237888746E+000                  0.0000000000000000E+000                  5.2842030431080610E+004 
                                      47                  2.7559409731880936E+002                  2.1272009590072299E-007                  2.3490153788946495E+000                  0.0000000000000000E+000                  5.5525300591475025E+004 
                                      48                  2.7976171094311138E+002                  2.1271707864627296E-007                  2.5283500128276994E+000                  0.0000000000000000E+000                  5.8349115168794473E+004 
                                      49                  2.8401024557405452E+002                  2.1271385263116819E-007                  2.7252338041211694E+000                  0.0000000000000000E+000                  6.1320835780754453E+004 
                                      50                  2.8832424187800927E+002                  2.1271041835963011E-007                  2.9420922981078803E+000                  0.0000000000000000E+000                  6.4448210029926748E+004 
                                      51                  2.9270445301833473E+002                  2.1270676260810789E-007                  3.1814617475074565E+000                  0.0000000000000000E+000                  6.7739391093910774E+004 
                                      52                  2.9715174029556647E+002                  2.1270287132798731E-007                  3.4459352259976468E+000                  0.0000000000000000E+000                  7.1202958982957003E+004 
                                      53                  3.0166713159049414E+002                  2.1269872956497774E-007                  3.7380868081722216E+000                  0.0000000000000000E+000                  7.4847943090352579E+004 
                                      54                  3.0625181113042271E+002                  2.1269432140557381E-007                  4.0603682618657420E+000                  0.0000000000000000E+000                  7.8683846071788590E+004 
                                      55                  3.1090705567077271E+002                  2.1268962996742509E-007                  4.4150552002967167E+000                  0.0000000000000000E+000                  8.2720668912920693E+004 
                                      56                  3.1563419632040257E+002                  2.1268463735241598E-007                  4.8045474674815907E+000                  0.0000000000000000E+000                  8.6968937135391330E+004 
                                      57                  3.2043464198615840E+002                  2.1267932451973063E-007                  5.2315271962205321E+000                  0.0000000000000000E+000                  9.1439728282980781E+004 
                                      58                  3.2530981634000881E+002                  2.1267367113495293E-007                  5.6990286801763430E+000                  0.0000000000000000E+000                  9.6144700698219589E+004 
                                      59                  3.3026102099983456E+002                  2.1266765549932915E-007                  6.2105222352138112E+000                  0.0000000000000000E+000                  1.0109612351346102E+005 
                                      60                  3.3528936615981428E+002                  2.1266125457025431E-007                  6.7700149079127954E+000                  0.0000000000000000E+000                  1.0630690786760092E+005 
                                      61                  3.4039584062070480E+002                  2.1265444393467990E-007                  7.3821718444883171E+000                  0.0000000000000000E+000                  1.1179063965773412E+005 
                                      62                  3.4558144042304576E+002                  2.1264719771565796E-007                  8.0524632588475136E+000                  0.0000000000000000E+000                  1.1756161422914187E+005 
                                      63                  3.5084721016052191E+002                  2.1263948842263540E-007                  8.7873435796532036E+000                  0.0000000000000000E+000                  1.2363487296514533E+005 
                                      64                  3.5619422422413362E+002                  2.1263128685575611E-007                  9.5944713647486459E+000                  0.0000000000000000E+000                  1.3002624184129514E+005 
                                      65                  3.6162355333742886E+002                  2.1262256206729762E-007                  1.0482981413414629E+001                  0.0000000000000000E+000                  1.3675237237735454E+005 
                                      66                  3.6713624580354303E+002                  2.1261328135640260E-007                  1.1463824145560151E+001                  0.0000000000000000E+000                  1.4383078518932374E+005 
                                      67                  3.7273338462554136E+002                  2.1260341020428134E-007                  1.2550191744828382E+001                  0.0000000000000000E+000                  1.5127991592521421E+005 
                                      68                  3.7841619112563427E+002                  2.1259291202355511E-007                  1.3758056693792609E+001                  0.0000000000000000E+000                  1.5911916360248005E+005 
