                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     100                                      432                  1.0000000000000000E+000                  2.0000000000000000E-002                  9.5009220573574601E+002                  2.6474295820974561E+002                  2.1961759245917685E+002                  1.9939395602562041E-007                  3.0887344984344328E-001                 -2.0003379178823455E+001                  7.4000000000000021E-001                  2.5540830215261673E-005                  2.3997445916978466E-001                  3.4416106108120397E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  9.0134254923124562E-005                  0.0000000000000000E+000                  6.6699348643112203E-005                  2.3021037015706366E-009                  2.1629919077848318E-005                  3.1020700814106309E-007                  9.0869619463497302E-008                  8.4369688086251933E-007                  1.8923325830693821E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0122411173692129E-005                  2.9884515062414807E-001                  9.0099344732104129E-005                  2.9091124163942428E-001                  1.8103373146133180E+005                  3.0964688566851504E+006                  4.5204105841374189E+012                  6.1129793226559767E-025                  6.1129793226559767E-025                  0.0000000000000000E+000                  2.4457588304740471E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.9983152327238060E+010 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.1961759273264380E+002                  1.9939395602562041E-007                  6.6666666666666663E-001                  0.0000000000000000E+000                  2.0064742634842547E+004 
                                       2                  2.1961759327957844E+002                  1.9939395602535267E-007                  6.6666667994877460E-001                  0.0000000000000000E+000                  2.0064743034595627E+004 
                                       3                  2.1961759492038223E+002                  1.9939395602508492E-007                  6.6666669323088290E-001                  0.0000000000000000E+000                  2.0064744233854992E+004 
                                       4                  2.1961759833872387E+002                  1.9939395602374630E-007                  6.6666675964142785E-001                  0.0000000000000000E+000                  2.0064746732311996E+004 
                                       5                  2.1961760244073409E+002                  1.9939395602173832E-007                  6.6666685925725677E-001                  0.0000000000000000E+000                  2.0064749730460382E+004 
                                       6                  2.1961760791008152E+002                  1.9939395601973038E-007                  6.6666695887309946E-001                  0.0000000000000000E+000                  2.0064753727991618E+004 
                                       7                  2.1961761474676680E+002                  1.9939395601638383E-007                  6.6666712489953450E-001                  0.0000000000000000E+000                  2.0064758724905769E+004 
                                       8                  2.1961762500179614E+002                  1.9939395601303723E-007                  6.6666729092600774E-001                  0.0000000000000000E+000                  2.0064766220277033E+004 
                                       9                  2.1961764551186090E+002                  1.9939395600634403E-007                  6.6666762297906879E-001                  0.0000000000000000E+000                  2.0064781211020043E+004 
                                      10                  2.1961768653201392E+002                  1.9939395599295771E-007                  6.6666828708564951E-001                  0.0000000000000000E+000                  2.0064811192507728E+004 
                                      11                  2.1961778224581406E+002                  1.9939395596618503E-007                  6.6666961530064517E-001                  0.0000000000000000E+000                  2.0064881149320296E+004 
                                      12                  2.1961791898020775E+002                  1.9939395589925312E-007                  6.6667293584883369E-001                  0.0000000000000000E+000                  2.0064981087652115E+004 
                                      13                  2.1961812408238819E+002                  1.9939395583232103E-007                  6.6667625641230699E-001                  0.0000000000000000E+000                  2.0065130995192179E+004 
                                      14                  2.1961853428910837E+002                  1.9939395569845634E-007                  6.6668289758510757E-001                  0.0000000000000000E+000                  2.0065430810441627E+004 
                                      15                  2.1961949144913291E+002                  1.9939395543072500E-007                  6.6669618011412168E-001                  0.0000000000000000E+000                  2.0066130380146904E+004 
                                      16                  2.1962085885991499E+002                  1.9939395476138469E-007                  6.6672938750652788E-001                  0.0000000000000000E+000                  2.0067129768261333E+004 
                                      17                  2.1962291003505493E+002                  1.9939395409202749E-007                  6.6676259642723090E-001                  0.0000000000000000E+000                  2.0068628854664526E+004 
                                      18                  2.1962701262113481E+002                  1.9939395275326212E-007                  6.6682901885312440E-001                  0.0000000000000000E+000                  2.0071627044396260E+004 
                                      19                  2.1963316720728588E+002                  1.9939395007552802E-007                  6.6696188203996676E-001                  0.0000000000000000E+000                  2.0076124379763969E+004 
